komentar
Gila pencabulan di pesantren  ber ulang2
"Viralkan, up terus habis kau di rutan 😅"
Hukum mati biar tidak ada pemerkosaan dan pelecehan hukum nori yg tegas tidak ada penjara buang buang uang negara masih makan penjahat guru stres sudah hukum mati saja biar mati aman nyaman sejahtera nori hukum yg tegas dablek enggak apa apa daripada kejahatan semakin merajalela di nkri
"Lagian jaman sekaran belajar agsma ko balajarnya nukis dan baca tulisan arab,  begitu lulus bingung mau kerja apa,  ahirnya jadi tukang dongeng"
"Gausah bsnyak pikir,  kumpulkan masa bakan dan hancurkan bangunan dan guru gurunya"
Kasihan korban2nya😢😢😢ya Alloh hukum mati tuh pelaku
Pesantren bukannya ngajarin ilmu agama yg bener malah isinya tukang cabul
Bubarkan pesantren yg menjadi sarang percabula
Bikin ortu takut masukin anak ke pesantren
Berita terakhir kata nya pelaku positif HIV .. nggak bisa membayangkan korbannya masih anak2
"Terapkan hukum kisos di ponpes sebagai contoh penegakan hukum Islam. Biar jera. Begitu lemahnya penegakan hukum, banyak pelaku yang melakukan pelecehan, dan anehnya mereka tuman, ketagihan."
"Lo , kalau kurikulumnya ada teori praktek tentang wk  wk  gmn MUI diam tu gimana to pak Mentri agama apa yang dikerjain  ?🙏❤️😎"
"Ini yg terungkap aja,yg tdk terungkap masih buanyak 😂😂😂"
Berhati_hatilah....memilih.sekolah.untuk.anak.kita.!!!
Santri....itu.diancam.
Yang namanya dosa tanggung masing masing
"Agam = sumatera barat= fanatik tapi kok jadi contoh yg jelek dan memalukan ,2 org guru cabuli 40 santri..😢😢 rusak betul hiyiiiyy"
"Bejat oknum polisi yg cabuli gadis yg lapor pelecehan, lebih bejat pula guru santri yg sangat paham agama, waspada org tua utk menyerahkan anak utk nuntut ilmu."
Jangamn masukan anak ke Ponpes aliran .....pilih pesantren sesuai sunnah
Ngeri banget predator di negri ini🤦🤦<br>Hancur lebur generasi muda Indonesia.
Santri laki laki dinodai ustad ustad mereka.kasihan sekali.
Patuik lah di ndk abih2 musibah
"Gas pool  ajarannya kn istri banyak bisa , nikahkan sj selesai.."
Mit amit....guru pesantren... kok kaya gitu....menakutkan...
Jalan satu-satunya dan keluarnya di Indonesia para ulama NU dan para ulama Muhammadiyah dan para ulama persis dan para ustad dan pengikutnya bertindak tegas untuk terlaksananya syari&#39;at Islam secara keseluruhan yang ada dalam firman ALLAH SWT yaitu Al-Qur&#39;an dan hukum Pidana ALLAH SWT atau hukum Qisas supaya ada efek jera pada seluruh manusia dan rakyatnya menjadi aman dan nyaman sentosa kaya raya sejahtera di jamin keamanan dan keperluan hidupnya selamanya dan manusia kapir non muslim di jamin keamanan dan keperluan hidupnya di Dunia saja janji ALLAH SWT dan Rosul-RosulNYA paling benar dan nyata.Dan ingatlah pertanggungjawaban besar di hadapan ALLAH SWT apa yang di AmanahkanNYA supaya melaksanakan syari&#39;at Islam secara keseluruhan pada para ulama dan para ustad dan presiden dan pengikutnya buktikan di Dunia dan di akhirat nanti atau bertobatlah pada ALLAH SWT dan kembali ke agama Islam yang secara keseluruhan sebelum ajal malaikat pencabut nyawa menjemputnya dan penyesalan tidak ada gunanya lagi waktu di neraka jahanam dengan siksaan yang paling mengerikan
Sering terjadi di pesantren.
kaum tusbol jg ada di ponpes
BIAR  BAGAIMANAPUN...P0NPES   ADALAH..PERUSAK  MINDA  ANAK  ANAK  GENERASI  MAJU....
TUTUP  .SEMUA  PONPES  SELURUH  INDONESIA....NGERI  DAN  MEMALUKAN...TABIAT ITU  TURUN  TEMURUN..KALAU  TIDAK  DI  TUTUP...
Mana fatwa MUI soal para santri yg jadi korban guru2nya.
Kami dari warga agam mendegar kelakun seorang guru yg kayak begini merusak marwah adat minang kabau maka dari itu.kepada piak yg ber wajib mita tolong di tindak lanjuti sesuai dg undang :yg berlaku sekarang ....
Langsung kebiri saja
Tidak apa apa...meneruskan jejak pendahulunya....
Ngeriiiii xxxx
Sekarang banyak banget kasus guru pesantren cabul semoga pelaku di hukum mati biar guru2 pesantren yang jahat lainnya pada jerah
Puas lah guru nya makan apem
"Makanya izin pondok pesantren, modern ataupun salafi di perketat .... Melalui persyaratan khusus, karena skrg bnyak yang ngustadz cuma modal jidat gosong"
Gimana masi mau masukin anak2 kalian ke ponpes yang sekarang jadi sarang predator..masuk ponpes belum jaminan ahklak anak jadi baik malah bisa jadi korban predator anak
Gk bisa ngomong panjang lebar cuma bisa GURU PALING BIADAB😡
Lepas dari mulut harimau masuk ke mulut buaya.
"Perempuan itu tidak usah di pesantrenkan,yg wajib menimba ilmu diluar itu laki²,jadi sebelum dia bersuami,sang ayah wajib memberikan materi ilmu itu,ilmu yg sangat bermanfaat ialah ilmu yg membawa kpd sang pencipta,bukan ilmu mencari surga"
Indonesia darurat perempuan
Inilah agama yg paling indah di dunia😂😂.. Tapi faktanya justru agama yg paling bermasalah dan tukang kawin di dunia😂😂😂..
Jiji
Halal di matikan itu
Dimasuak ank ka pesantren kok lai aman kn a.. Kironyo mamasuakkn ank kakandang buayo gadang kironyo..
Pesantren maksiat wi
"Aduh,ngeri,di ke biru aj"
Bahaya banget jika menyekolahkan anak di  pesantren....ustad pedofil bisa trauma umat melihat ini
"Tolong ini jadi perhatian Mentri Agama dan kemendikbut, agar para pendiri pesantren harus disiplin dalam memperkerjakan kan guru gurunya tks"
Fuckshit
Cabul cabul trus banyak di pesantren hihihi ng3ri potong aja yang kelaminya
Kadrun kok tdk demo ya dan toko agama  anak di rudal paksa di hamilu dan sampai berana beranak orang tua tdk tau langsung punya cucu mungkin ajaran masuk sorga
Berkah disodomi habib dijamin masuk surga ❤
"untung anak cowok ,kalau cewek bisa bahaya sbb hilang perawan n bisa hamil"
"Saya berharap hukumannya di ketok manuk&#39;e, 😢😢😢 ayo buat undang2 pencabulan hukum potong manuk&#39;e"
INILAH NEGERI CABULOLAH... AYO PEMERINTAH....GELONTORKAN LEBIH BANYAK LAGI APBN KE PESANTREN2.
harusnya diponpes punya aturan sendiri..bia ada guru disana berbuat pencabulan terhadap santrinya ..harus dihukum kebiri biar buat efek jera..
Bgmn MUI apakah itu halal dari sisi agama😂😂...? bagaimana nasib para anak santri di Indonesia masa depan mereka hancur karena menghalalkan tidak tidur dengan para santri😂😂setiap tahunnya selalu terjadi begini saya yakin banyak orang akan murtad karena ajarannya menyesatkan membunuh masa depan anak....
"Mana menlu retno ,itu ajaran apa itu , agama apa itu , dasar psikopat"
Maunya apolovet2 islam memperdalam agama dgn kebenaran sehingga tdd berulang ulangkejadian sepeti ini.Bukan asyik menerang agama non islam dan sibuk belah palestina hingga tak peduli umatnya sendiri
Hahahaha mulai para santri sasaran🤣🤣🤣🤣
.harus di hukum MATI atau seumur hidup
.sumbar..sdh g aman..
Yg merusak akidah org org mereka   <br>Yg di salahkan tetap aja Habib keturunan arab  <br>Padahal agama islam itu berasal dari arab
seleksi donk guru yg mau mengajar.disana.bejat memalukan
Ai ga lancar yg di ajak bicarabya jg jd kurang gimna gitu. Kyk miiir2. Ya jwb aja ngalur loh biar yg nonton enak. Mkasih. Maaf cmn pndafat.
"Kakau tak merusuh ya asusila😂😂😂😂😂,, sungguh damai"
yg mendukung tembak mati silahkan like
Pasti gurunya orang pribumi.....😁😁😁😁😁
Wa guru agama bejat hukum mati aja
"TONTON INI ZUMA. DAN KAMU DONDI SHE TAN. INIKAH YG DI SEBUT PELAJARA <a href=""https://www.youtube.com/watch?v=HzwJmFxe0C8&amp;t=149"">2:29</a> N SELANGKANGAN  ?? .😂😂😂😂😂😂😂😂."
Si Idrus Ramli kemana yah???😁😆🤣😆😁😁😆🤣🤣🤣🤣<br>Jngn2 itu hasil didikan si Idrus.
Cabut izin pendok pesantren yg sprti itu.
Lagi dan lagi 😢
Sudah brp banyak perempuan di negeri Kanoha korban Pencabulan para Ustad Ustad .Sungguh miris pengikut buta huruf ini.
Banyak sekali korban di ponpes harus di tindak tegas.kasihan puluhan anak jadi korban otak biadap.
Biadap memang guru apa yg terpikir dlm otaknya hkm mati sdh merusak masa depan anak.😊
Guru atau ustad..wkwkkw
Guru apa.....thoh
😢itu baru hukum di dunia...belum lagi hari Pembalasan 😂....-+?????
Onde lamak e...dapek pisang takubak....
Hahahhaha pondok lhoo GK bs nahan nafsu
40?bknya 72?...<br>Gilaaa nihhh predatornya....ayo murid2 smua speak up pasti ribuan nihhhh korbannya
Mantaf
Astaghfirullah  di kebiri itu bahya orang tidak waras
semakin khawatir dan cemas bagi wali santri untuk memondokan ank anaknya  di eea sekarang ini . sebaiknya para pengasuh dan pengajar dipondok di test mental dan kejiwaannya
Ini hrs di hukum brt
Ini guru macam apa?
gak dimana pesantren sm gurunya cabul kenapa anak didiknya gak berani lapor sangking keenakan
kembalikan nama baik sumbar dg menghukum rajam sampai mati pelakunya
Netanyahu united pesantren
Mbok ya Ngurusi tambang sana kok ngurusi slakangan saja ini jangan di contoh
Si paling mengedepankan adab...malah jadi biadap..memalukan😂😂
Ini keterlaluan. Jangan sampai guru ini dari murid idrus ramli lagi atau mungkin faham aswaja.
"Haha gk heran klo kadrun, sok pling suci dr semua agama, tpi gini lh contohnya😂😂😂😂😂"
Gk bs dibuat hukuman mati
Sudah.biasa.tidak.heran.
"Bubarkan ja pondok pesetren kaya itu,memalukan"
pelaku hukuman berat yg asusila
Hukumnya apa coba??? <br>Terus  org atassan gmn. Paling diam aja
Malu maluin bikin pesantren cuman cari cuan dan membuang nafsu
Terlalu banyak pesantren pesantren sekarang atas nama agama.mendirikan pesantren padahal tujuannya uang dan wanita.bubarin pesantren yg abal abal
Sunnah Nabi memang begitu
Seharusnya pesantren tempat yg aman untuk anak sekolah ini malah memalukan di nagari kito.jdi takut orang tua untuk memasukan ank&quot; k pondok.seharusnyo urang tu di penjara
Nek Iki gor GURU GAWOK BRO
Udah.... itu kan sekolah paling bener di lndonesia....biasa ajalah..ntar juga tetap masuk surga ...jangan jangan mau cabul dibuatkan dalilnya...makanya anak nya bisa mau...bahkan sampai segitu banyak...
Gak heran ...
Lagi2 kasus ntol pntol.. potong saja  udah..
"Nauzubilahi minzalik,ga habis pikir ya Allah,,klau orang gila melakukan jelas ujar nya dia orang gila,ini ahli agama otak nya dimana.buat malu agamaku aja kau Nauzubilahi minzalik 😠😠😠"
"Aduh, wajah nya di buka aja, biar kita tahu semua wajahnya"
Banser mana ni
Klo kurang algojo eksekusi sy siap tanpa d gaji pakk klo hnya mengatasi ormg macam ini...
"Hukum kebiri aja pelakunya biar jera,hukum indo terlalu lemah bagi penjahat and koruptor"
Tertawa agam lain lihat kasus ini karna bukan sekali dua kali kasus begini terjadi
"Btul2 gram KTA dengar brta gru agama mncabuli anak,rasanya brsja KTA dengar ni dah ad lagi.sbaik ny plkunit dhkum mti sja."
Kebongkar .sadar woi .sadar😅😅
Guru biadab 😡
"Selectiflah setiap pengelola pondok Pesantren pada pengajar dan anak didiknya. Jika di fasilitasi HP, alangkah baiknya di hari tertentu, mungkin hanya sekali dalam sepekan, yaitu hati Jum&#39;at."
Hukum Mati biar pada jera pelaku cabul.
NU lagi
Ini namanya guru cabul
Tidak ada lagi yang bisa di percaya kan selain orang tua.tapi itulah kebodohan orang tuanya.mau menyekolahkan anaknya kepada di tempat santri santrinya.
"BANYAK PREDATOR, DITEMPAT SEPERTI ITU.. SUDAH BANYAK KASUS SEPERTI INI.<br><br>ORTU TIDAK MUNGKIN BISA MENGAWASI ANAKNYA 24 JAM."
Hukum mati aja
biasa itu junjungan nya aja nge we anak 9 tahun😂😂<br>isi otak mreka cmn selangkangan 😂
"Dajal,  ngeri masukin ank k ponpes..udah bnyk kasus..ngeri..sehrusnya pemerintah tegas..memberi hukuman."
kenapa sudah merata pasentren terdampak kasus  perkosa pk
pk polisi mohon jangan di tutup wajah pelaku bejat itu
Ini lh yg di takut kam jaman skrg ini banyak pesantren laki2 maupun anak cewe jadi korban  sebagai ortu kita gak prcaya lagi
Masuuuk ..pak eko<br>Krn bila dicabuli oleh gurunya jika mati maduk Surga.
"Sudah tidak heran dengar berita model ini di konoha,"
"Udh ga heran, islam wkwkwk tiap minggu kabar beginian"
Ini pasti golongan NU
Lagi lagi dan lagi lagi berita ginian😅🤦🏻‍♂
di mana otak mu pak
"berarti di sana bukannya guru pemecah record,,, TAPI PEMECAH PERAWAN 😅😅😅"
Sadis dan bejad
Lagi2 macam ini
BAGINDA MM SURI TAULADAN YG MUMPUNI
Astaghfirulloh..  Parah parah parah bejad
oknum trus lagi2 oknum
mantab kali ini hhhhhhhhhh
Enak ya
"Orang tua yg menitipkan anak perempuannya di pondok pesantren, sama seperti memberikan anak ayam ke garangan yg sdh sebulan tdk makan.🤗🤗"
Memang enak punya pesantren😅
Bisa tusbol bocil
"Akan selalu terulang hal seperti itu 😄 seharusnya negara hadir karena sering terjadi,😄 pencabulan di Pospen.."
Itu sekolah atau pesantren
Hukum mati !
semua pesantren seperti ini
Pesantren pecundang namanya<br>Kasian para orang tua yg anak nya di rusak oleng gurunya sendiri
"Buka aja topeng nya ngapain harus di tutup,dasar biadab."
Hukum mati
Gila sekali sampai 40 santri yg dirusak gurunya. Matikan saja pak gak perlu disidang.
NGAPAIN DI TANGKAP... SUNAH RASUL ITU... ITU LAH KERJA BAGINDA RASUL KALIAN YG KALIAN DOA KAN TIAPBHARI
Mau rencana masukin anak ke pesantren jadi takut juga ya ..🤔
"PESANTREN PESANTREN zaman sekarang memang kalau di usut semua pasti ada kasus pencabulan.🤣🤣🤣🤣<br>Dirikan pesantren buat maksiat, parah tokoh2 agama zaman sekarang.!!!"
bukan cabuli. tp memberi latihan menjd bidadari disurga kelak.
Belajar dari jungjungan
Saya kasi tau  🙏🙏🙏 kalo anak perempuan. Jgn lah di serah kan ke pesantren mana aja apa lagi di pesantren itu ada bandot nya... Uda sering pak degar di berita.. berita bentar bentar ter dengar ada cabul.... Berapa kemudian ada lagi .... Sadar buu... Bpk .... Kasian sang buah hatuy nya. Di nik maty manusia... Bejat...itu . 😭😭😭😭😭😭😭🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
Hukum maty siksa kulitin... Bandot di kasih daging astaga... Manusia bejat. <br>Pikir pikir bu kali mau belar agama di rumah aja uda cukup dari pada anak nya di  cabuk cabik. Sama bandot penikmat.
Sesuai sunnah mamad 😂
Maka nya sadar buuu bpk.... Jgn masukin anak nya di pesantren. Manusia bejat itu waspada haty haty . Sebelum di jeboskan anak nya berpikir terlebih dahulu
Kadrun hahahahahahaaa😅😅😅
"Innalillahi, wa ina ilaihi roji&#39;un. <br>Telah mati ajaran2 pendidikan agama islam yg berada di pondok2 pesantren Indonesia...😢 karena ulah oknum2 pengajar ilmu agama yg lemah iman dan kalah sama nafsu syahwatnya. Akan ada azab menantimu."
Nahhh...ini ahlak guru agama islam yg otaknya perlu di bedah.
Sangat memalukan
Untuk pesantren2 pesan harus hati2 terima guru bisa jadi guru2 seperti ini memang di bayar untuk merusak nama2 pesantren dan merusak nama agama islam selanjutnya kita serahkan kepada ALLAH SWT semoga terkuak guru2 yg merusak generasi2 ummat islam
Kasus2 seperti ini kok MUI bisu yaaa.. ?????
"Apalagi yang sekolah umum, 😂"
Lagi2.. lagi2.. cerita berulang.. suka atau tidak suka.. terima atau tidak terima.. memang ada yg keliru atau salah dari konsep pendidikan pesantren ajaran atau dogma bhw wanita harus nurut dan tunduk kepada laki2 at apalah.. kasian dan sayang anak2 putri kita.. <br>Para pelaku harus dihukum GANTUNG..
Sejak dl sering terjadi..sudah tdk heran.
Incaran kinama🤣🤣
Mkin rame aja kasus ditempat ini beda dgn dipantai tanpa sehelai benangpun lum pernah dengar pencabulan
Percayalah kasus seperti ini akan terus berulang selama tindakan pencegahan nya .. minim .. seolah biasa saja ini terjadi
Menteri agama dan pendidikan tutup mata selalu terulang
"Suda bgtu masi pengem dirikan pondok pesantren di wilayah kami d papua😅😅lucu ,jngn harap psntren sprti ituasuk d indon timur"
BAGUS......... LUAR BIASA
Predator terselubung.... Gurusantri harusnya punya sertifikat yang dibakukan oleh kementerian agama dan pendidikan...
"Terulang lagi, atas nama yg disebut wkkkk"
Ngga heran komplotan Netanyahu United 😂😂😂😂😂
"Jijik denger nya, tujuan ortu msk pesantren jd ank yg soleha krnya guru ny  RAKUUSSS bin  BEJAATTT merusak masa dpn anak. <br>Kok  bs guru moral bejat"
ngeri y ikut pesantren sekarang jadi takut
Hukum positip kalsh dengan agama islam<br>Sudah ter jafi di mana mana kasus seperti ini<br>Karena ustad <br>Guru ngaji<br>Guru agams<br>Pengasuh pondok pesantren<br>Masih di anggap juru selamat dan malaikat yg bisa mengubah santri jadi cerdas<br>Kenyataan nya<br>Santri di jafikan atm<br>Santri di jafikan budak<br>Santi di jadikan istri siri<br>Santri di cabuli dgn kata barokah<br>Sudahlah pesantren pesantren cabut di tutup<br>Oknum nya di hukum msti titik selesai<br>Santri di srkolahkan ke sekolah umum yn terbuka bisa pulang <br>Bisa di awasi oleh orang tuanya<br>Namum madyarakst lebih percaya ke pondoj pesantren mencetak ansk agamis<br>Hadiknya<br>Planga plongo<br>Kawin myda<br>Tidak busa bekerja<br>Tidak bisa msnduri<br>Bidanya cetak anak dan pengangguran <br>Sekolahnumum saja<br>Untuk apa pesantren ujung ujung nya jadi korban totong jrlalstan totong gatal para pengaduhnya<br>Kasihan.
Benar2 tdk punya rasa perikemanusiaan anak didik dihancurkan masadepannya
Ih serem
Penegak hukum di Indonesia mohon dihukum mati orang begutu karena memalukan agama islam dan memalukan Allahu swt  dan rasulullah saw *
guru biadap...hukum kebiri...penjara seumur hidup..
"GITU LAH AGAMA PALING SEMPURNA, SEMUA JENIS KEJAHATAN DILAKU KAN TAPI TETAP SEMPURNA<br>,SEHARUS NY TK SEMPURNA, MUNGKIN ROKOK SEMPURNA"
Penjarain yg ngerusak cewe
"Bukan cewe itu yang dicabulin , tapi cowok , inimah kasus kejomokan 😹😹"
Ngeri2 sedap hukum kebiri aja it😂
Bubarkan saja pondok pesantren dan alirannya <br>Bikin resah Masyarakat
saya takut memasukan anak ke pesantren...
Rusakrusak didikan agama macam apa nih...
Proses hukum bagi PERUSAK citra Pesantren .
hukum mati aja pa....
Suntik kebiri
Hhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhh mereka tak henti-hentinya mencabuli anak santriii....mantap juga ya uclim 😂😂😂...ini yg dikatakan agama yg paling benar??
Via Model S
"Siapa suru masuk pesantren, dari dulu kejadian yg sama, dmn mana pesantren gurunya seperti itu,  yah mungkin tidak semua karena belum ketahuan, kan ajarannya boleh meng anu anak dibawah umur,"
Agama adalah predator
Mantap pa ustaaaaaaaaad😅😅😅
Jangan kirim anak anak kita di pondok...miris liat berita macam ni
Masak sih sebanyak itu?...
terlalu sibuk mengomentari keyakinan orang jadi gak lihat kelakuan saudara seiman
Yg jelas ini bukan ponpes salafi Wahabi.<br>Husssss...bgm dg tetangga ngaNU?
Rusakkkkk rusakkkk😂
"(Yaitu) kwtika kamu di sebelah wadi yang terdekat,dan mereka di sebelah wadi yang terjauh, sedangkan khalifahnya disebelah terkebawah darim padamu.   Jikalau kamu mengadakan sesuaktu lebih dahulu dengan mereka,niscaya kamu akan memutuskan urusan yang akan diperbuatnya.   &quot;Lagi supaya binasa orang yang binasa dengan keterangan,dan supaya hidup orang yang dengan keterangan pula (ia menjadi hidup).  Sesungguhnya Allah Maha  Mendengar lagi Maha mengetahui&quot;. (Al-Anfal 42-44)."
"Manusia bejat, hukum yg seberat2nya."
Mhn para penegak hukum  tuk mengadili pr gr/ustad di pesantren  tsb yg se adi&quot; nya .<br>Sy rs  lbh baik di tutup aj pesantren tsb krn  grh nya aj a moral gi mn pl dgn murid nya kelak
Reporter tanya apakah sebelumnya tidak ada laporan.? Sepertinya repoternya harus masuk pondok dulu biar tahu budaya yang ada dalam pondok..
Harus ada penataan ponpes  yang putri gurunya harus wanita . Jangan sampe ada guru cowok biar gak ada lagi yang seperti ini
"Ada lagi orang seperti ini merusak nama pondok pesantren, manusia paling biadab merrusak generasi"
Tolong jangan ditutupi nama Ponpes yang telah melakukan pencabulan terhadap santriwati agar Kamisebagai ibudanbapak tidak lagi mau memasukan ANAK2KAMI di pesantren-pesantren tersebut
Parah
"Rajam sampai mati pelaku nya, memalukan."
ngk heran perlakuan islam sebab islam itu kan ikut tuhan nya dari arab tukang cabul  ajaran boleh memunuh boleh korupsi  bah kan istri orang pun boleh di pinjam itu lh islam klo anak2 itu ngak maudi cabul  agam islam itu harus di hapus kan dulu sebab di islam anak kecil boleh di cabul jadi jangang salah kan orang lain lebih baik salah kan agama islam yg bisa nya  mencabuli anak kecil kan itu inti nya
Pokoknya hukum di Indonesia ini paling lemah
innalilahi wa innailaihi ro jiun astagfirullah
Kenapa banyak pencabulan di pesantren?
"😂 KALIAN TENANG SAJA, SOALNYA SUDAH DAPAT SERTIFIKAT &quot;HAL*L&quot; DARI MAJELIS &quot;UH-IH&quot; 😂 JADI GA AKAN DIPERMASALAHKAN SI PEMILIK KUNCI SORGA ITU 😂 APALAGI PANUTAN MEREKA KAN UDAH JADIKAN ISTRI SI BOCIL YG MASIH 10 TAHUN ATAU BERAPA LAH ITU.. 😂"
"Ya allah kenapa sih banyak sekali kyai cabul,mohon waspada untuk bp ibu yg punyA anak di pesantren jgn terlalu percaya pada kyai"
Pesantren oh Pesantren..👺🤪
Alhamdulilah atas agama rahmatan kelamin ini. Amin ya rogol kelamin 🤲
Hukum seberat 2 Nya
Ingat musibah di agam kmrn
Guru muslim atau bukan ? Atau<br>pura² islam  nyamar  hanya untuk merusak muslim.klo sampai banyak sydah layak<br>dihukum mati.
Guru gadungan namanya tu 😅😅😅
Kadrun
"Pak Romli siap siap anda akan dipertanggungjawabkan besar-besaran di akhirat anda akan ditanya oleh Allah, mustahil Allah bohong"
"Kebiri aja, memalukan."
"Srreeemm ni guru berbuat cabul terhadap santri,,,bukannya kasih ilmu malah dicabulin,,wao penjahat yg bertameng suci,, mending gk usah masuk pesantren,, bahayaaaa"
"Dikebiri saja ,biar tidak banyak makan korban cacul  ,"
"itu yg ketahuan, yg diem bisa jadi ribuan"
"Predaktor anak itu jangan dihukum ringan juo lai😢😢apo lai sabanyak tu anak nan nyo perkosa 😢hukuman mati lah,ko indak 10th atau 20 th sajo nyo ,makonyo candu para binatang ko ber buat biadab,hukuman kebiri ndak lo tega,hukum cambuk ndak lo biaso trus ,hukuman aa lai ,supayo nan lain jaro pak penegak hukum ,jan asa di hukum jyo mereka tu lai bapak penegak hukum🙏🙏 ,kasihan anak anak awak nan alah korban tua ,lah kanai spisikisnyo nah,, generasi penerus awak nanvalah be gaek gaek ko mah pak penegak hukum,jan pertimbangkan iko jo itu jo lai,beko bisa c anak, cucu,kapanakan  penagak hukum nan kanyo salasaian mah ,kok indak di buek nyo  jaro mereka bianatang biadab mah pak penegak hukum 🙏🙏🙏😢😢😢"
"Perlu juga menjaga jarak, sopan santun, kendaliin diri.<br>Nafsu kayak anak kecil, kalo diturutin pengen terus.<br>Bener gak? Makanya kudu hati2, pikirkan perasaan orang lain juga."
"Mencemari agama.<br>Dan 100% karena bideo xbiru, gue paham krna gue kolektor japvid sampe 700 gb.<br>Gue gak bisa fokus, dan perlahan gue tinggalin bisa fokus.<br>Emang fakta 100% pornohh bisa merusak fokus dan otak.<br>Banyak dari kawan netizen bilang sama.<br>Kalian yg no PMO lanjutkan, kau dijalan yang sangat benar."
"secara hukum indonesia, haru s dihukum yang melakukan pencabulan,tapi dari sisi ajaran perlu dicek dulu apakah ajaran seperti itu ada,soalnya sudah banyak kasus pencabulan sebelumnya di ponpes hampir seluruh indonesia.."
"Sesndainya bnar ,msih banyak kok pesantren yg lai n"
"Sesndainya bnar ,msih banyak kok pesantren yg lai <a href=""https://www.youtube.com/watch?v=HzwJmFxe0C8&amp;t=313"">5:13</a>"
"Dirasakan oleh siswi  mrssa ,kok mau di anuiii9o guru 40  itu banyak lo kalau 1,2 wajar"
Disekolah bukan di pondok
Ga heran....
harus di hukum mati
Wooow...
Kasian banget generasi muda untuk seumur hidupnya akan mengingat kejadian itu😂
Jamgan dipiralkan kok pesantren wahabi iya betul wahabi pesantren udah pasti itu untuk memfitnah pesantren
Kok tega ya
Kok tega ya
"Pasti pesantren NU pesantren nya islam Nusantara yg banyak kejadian ky gini , anak buah nya si yakut kelompok Banser"
"Di Pondok kok banyak ya, kyainya CABULI  santrinya. <br>Berkali kali gitu.<br> Enak ya.... ha ha ha."
Ke enakan pasti msuk bol
"😂😂😂😂 ha ha haaa...ponpes2 kok gak ada akhirnya, bercokol pengabdi selangkangan"
"😂😂😂😂 ha ha haaa...ponpes2 kok gak ada akhirnya, bercokol pengabdi selangkangan"
WAJIB HUKUM MATI !
Ini pesantren udah 100 thun udah bantak lulusan prof doktor dll..
🎉🎉🎉guru❤namanya❤tpi❤bkan❤guru❤tapi❤hewan❤
untuk efek jera gantung pelaku di tugu jamgadang biar kasus yg sama ngak ter ulang lagi harus keras demi menjaga nama baik alam minang kabau ..
Harus dihukum berat sungguh sangat tak bermoral agar menjadi pelajaran bagi guru guru yg lain untuk tidak melakukan perbuatan yg serupa.
"Ya Allah,lindungi kedua putri hamba dr kejahatan&quot; di sana"
Kebiri😂😂
"Masyaallah, mohon d hukum kebiri, karena perbuatan sang guru tsb betul2 di luar nalar, dan bisa2 menjatuhkan nama Pompes yg sangat terkenal d Bukittinggi."
Di hukum dalam aja sampai mati jgn pakai hukum negara itu blm adil
Hukum mati aja
Tutup aja pesantrennya..
Binatang ini guru ny g mikir masa depan ank&quot;nantinya
